RESPONDENT_ID,LANGUAGE_CODE,SURVEY_TYPE,Q01. In what country were you born?,Q02. In what year were you born?,Q03. In what year did you move to the United States?,Q04. In what ZIP code do you live?,Q05. What is your preferred language?,Q06. How well would you say you speak English?,Q07-Verbatim. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?,Q07_CODE1. What is the most important issue facing your immigrant and refugee community that you think our public officials should address?-1,Q07_CODE2. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -2,Q07_CODE3. What is the most important issue facing your immigrant and refugee community that you think our public officials should address? -3,"Q08. Overall, how much of a difference do you think you can have in making your neighborhood a better place to live?",Q09. How interested are you in the presidential election this year?,"Q10_01. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 1","Q10_02. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 2","Q10_03. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 3","Q10_04. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 4","Q10_05. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 5","Q10_06. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 6","Q10_07. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 7","Q10_08. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 8","Q10_09. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 9","Q10_10. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 10","Q10_11. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 11","Q10_12. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 12","Q10_13. If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use?  - 13","Q13_OTHER. Other: (If you wanted to find information about elections, issues, and candidates, which of the following would you most likely use? )",Q11. How easy is it to find information about elections and candidates in your preferred language?,Q12_01. Please tell us if you have done any of the following activities in the past 2 years. - 1,Q12_02. Please tell us if you have done any of the following activities in the past 2 years. - 2,Q12_03. Please tell us if you have done any of the following activities in the past 2 years. - 3,Q12_04. Please tell us if you have done any of the following activities in the past 2 years. - 4,Q12_05. Please tell us if you have done any of the following activities in the past 2 years. - 5,Q12_06. Please tell us if you have done any of the following activities in the past 2 years. - 6,Q12_07. Please tell us if you have done any of the following activities in the past 2 years. - 7,Q12_08. Please tell us if you have done any of the following activities in the past 2 years. - 8,Q12_09. Please tell us if you have done any of the following activities in the past 2 years. - 9,"Q13. Some people are registered to vote, while others are not. Which of the following best describes you?","Q13_OTHER. Other: (Some people are registered to vote, while others are not. Which of the following best describes you?)","Q14. If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote?","Q14_OTHER. Other: (If you are eligible (U.S. citizen over the age of 18), but have not yet registered to vote, what is the main reason why you have not registered to vote? )",Q15. Did you vote in the Presidential Election last November 2012?,"Q16. If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?","Q16_OTHER. Other: (If you did not vote in the 2012 Presidential Election, what was the main reason for not voting in that election?)",Q17. How likely is it that you will vote in the presidential election this November 2016?,Q18. How often have you voted in state and local elections?,"Q19. Have you ever been contacted and encouraged to vote by a candidate, political party, or other organization?",Q20. What is the highest level of education that you have completed?,Q21. Do you and your family own the place where you are living now or do you rent?,Q21_OTHER. Other: (Do you and your family own the place where you are living now or do you rent?),Q22. How many people (adults and children) currently live in your household?,Q23. Please select your gender:,Q23_OTHER. Other: (Please select your gender:),Q24. What was your total combined household income in 2015 before taxes?,"Q25. When it comes to getting around the city, which of these statements best describes your situation?","Q25_OTHER. Other: (When it comes to getting around the city, which of these statements best describes your situation?)",Q26. How did you hear about Seattle Votes?
2213,Vietnamese,PAPER,Vietnam,1936,1992,98108, ,Not well,NA, , , ,I can make no difference at all,I am somewhat interested,Ethnic Television,Ethnic newspapers,Ethinic radio, , , , , , , , , , , ,It is difficult,I attended a government or school board meeting in my city,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , ,I am registered to vote, , , , , , , , , ,None,We rent our home, ,9,Female, , ,I usually drive the car that I own, , 
2215,Spanish,PAPER,Mexico,1984,2003,98108,Spanish,Well,help finding rental home,Affordable housing/Low income housing, , ,I can make a moderate difference,I am very interested,Internet,Ethnic Television, , , , , , , , , , , , ,I have not found any,I have worked on a project or attended a meeting in my neighborhood, , , , , , , , , , , , , , , , ,Never, ,High school graduate or GED,We rent our home, ,9,Male, ,"$11,880 or less",I usually drive the car that I own, , 
2216,English,PAPER,Somalia,1974,1998,98109,Somalian,Very well,"""Youth education, safety""", Help the youth/youth services, Improve safety/Reduce crime, ,I can make a big difference,I am very interested,Internet,Ethnic Television,Friends and family,Television in English,Ethnic newspapers,My place of worship, , , , , , , , ,Very easy,I attended a government or school board meeting in my city, , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,College degree,We rent our home, ,6,Male, ,"$40,891 to $64,999",I usually drive the car that I own, ,TRAC Associates
2217,English,PAPER,Ethiopia,1979,2011,98109,Oromo,Not well,My children safety and education, Improve safety/Reduce crime, Education/General educational resources, ,I can make a moderate difference,I am not interested,Internet,Television in English, , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, , , , , , , , , ,High school graduate or GED,We rent our home, ,4,Female, ,"$11,881 to $24,300",I usually drive the car that I own, ,TRAC Associates
2218,English,PAPER,China,1982,2013,98109,Chinese,Not well,NA, , , ,I can make a small difference,I am somewhat interested,Internet,Friends and family,Television in English, , , , , , , , , , , ,Somewhat easy,I attended a government or school board meeting in my city, , , , , , , , ,I am not currently eligible to register to vote, ,Voter registration information is not available in my preferred language, ,No,I was not registered, ,Somewhat likely,Never, ,Some high school,We own our home, ,1,Female, ,I don't know,"I don't own a car, so I take public transportation", ,Seattle Public Library ( online and in paper)
2219,English,PAPER,Phillipines,1987,2014,98109,English,Well,Housing,Affordable housing/Low income housing, , ,I can make a small difference,I am very interested,Internet,Television in English, , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,Not living here yet,Somewhat likely, , ,College degree,We rent our home, ,4,Female, ,"$65,000 to $99,999","I don't own a car, so I take public transportation", ,Seattle Public Library ( online and in paper)
2220,English,PAPER,China,1986,2015,98109,English,Not well,No, Don’t know, , ,I can make a small difference,I am somewhat interested,Internet,Friends and family,Television in English,Newspapers in English,My union or work place,Library, , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , , , , ,Somewhat likely,Never, ,College degree,We rent our home, ,3,Female, ,"$65,000 to $99,999","I own a car, but I usually take public transportation", ,Seattle Public Library ( online and in paper)
2221,Spanish,PAPER,Mexico,1979,2016,98109,Spanish,Not well,NA, , , ,I can make no difference at all,I am very interested,Internet,Ethnic Television,Television in English, , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote,I cannot vote, , , , , ,Somewhat likely,Never, ,Graduate or professional degree,We rent our home, ,2,Female, ,I don't know,"I don't own a car, so I take public transportation", ,Seattle Public Library ( online and in paper)
2222,English,PAPER,Korea,1982,2013,98109,Korean,Not well,NA, , , ,I can make a small difference,I am somewhat interested,Internet,Ethnic Television,Friends and family,Television in English,Ethnic newspapers, , , , , , , , , ,Very easy, , , , , , , , , ,I am not currently eligible to register to vote, , , , , , ,Not likely at all,Never, ,College degree,We rent our home, ,2,Female, ,"$100,000 to $150,000","I don't own a car, so I take public transportation", ,Seattle Public Library ( online and in paper)
2223,English,PAPER,Thailand,1989,2016,98109,Thai,Not well,None, Don’t know, , ,I can make no difference at all,I am somewhat interested,Internet,Ethnic newspapers,Library, , , , , , , , , , , ,I have not found any, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No, , ,I don't know,Never, ,High school graduate or GED,We rent our home, ,2,Female, ,"$40,891 to $64,999","I don't own a car, so I take public transportation", ,Seattle Public Library ( online and in paper)
2224,Chinese,PAPER,China,1954,2009,98109,Chinese,Not well,NA, , , , ,I am very interested,Library, , , , , , , , , , , , , ,It is difficult, , , , , , , , , , , , , ,No,Not US citizen/Ineligible/Greencard holder,I am not, , , , ,We rent our home, , ,Female, , ,I usually walk, ,Seattle Public Library ( online and in paper)
2225,Chinese,PAPER,China,1954,2009,98109,Chinese,Not at all,NA, , , ,I can make no difference at all,I am very interested, , , , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No, , , , , , ,We rent our home, , ,Female, ,"$11,880 or less","I don't own a car, so I take public transportation", ,Seattle Public Library ( online and in paper)
2226,English,PAPER,Laos,1961,1979,98109, ,Not well,NA, , , ,I can make a small difference,I am not interested,My place of worship,Library, , , , , , , , , , , , ,It is difficult,I have worked on a project or attended a meeting in my neighborhood, , , , , , , , ,I am not currently eligible to register to vote, , , ,Yes,I was not registered, ,I don't know, , ,High school graduate or GED,We rent our home, ,1,Male, , ,"I don't own a car, so I take public transportation", ,Seattle Public Library ( online and in paper)
2227,Chinese,PAPER,China,1968,2006,98109,English,Not well,safety, Improve safety/Reduce crime, , ,I can make a small difference,I am somewhat interested,Ethnic newspapers, , , , , , , , , , , , , ,Very easy,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , , ,I am eligible to register but have not registered yet, ,I am too busy, ,No,I did not have a stamp to mail in my ballot, , , , ,College degree,We rent our home, ,1,Male, ,"$11,880 or less","I usually use shared transportation, such as a carpool", ,SCIDpda
2228,Chinese,PAPER,China,1989,2002,98109,Mandarin,Well,NA, , , ,I can make a small difference,I am very interested,Newspapers in English, , , , , , , , , , , , , ,Somewhat easy,"I participated in one or more demonstrations, protests, marches, or rallies", , , , , , , , ,I am eligible to register but have not registered yet, ,Voting is a waste of time/it doesn't make a difference, ,No,I did not like the candidates, ,I don't know, , ,Graduate or professional degree,We live with relatives or friends, , ,Female, ,"$11,881 to $24,300",I usually walk, ,Min Guo / Min G.
2229,Tigrigna,PAPER,Eritirea,1995,2005,98109,English,Very well,job,Jobs/Job search/More jobs available, , ,I can make no difference at all,I am very interested,Internet, , , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am eligible to register but have not registered yet, ,Voter registration information is not available in my preferred language, ,No, , ,Not likely at all, , ,High school graduate or GED,We rent our home, ,4,Male, ,I don't know,I usually drive the car that I own, ,Ailaf Ali
2230,English,WEB,Colombia,1987,2014,98109,Spanish,Very well, , , , ,I can make a small difference,I am very interested,Internet,Friends and family,Newspapers in English,My union or work place, , , , , , , , , , ,I have not found any,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I contacted a public official through a letter, email, phone, or in-person",I sent a message on Facebook or other social media about a social or political issue, , , , ,I am not currently eligible to register to vote, ,Not a citizen yet/Not qualified/Greencard holder,Not eligible, , , ,Not likely at all,Never,Yes,Some college,We rent our home, ,1,Female, ,"$40,891 to $64,999","I don't own a car, so I take public transportation", ,At work / through employer
2231,Chinese,WEB,China,1989,2011,98109,Chinese,Very well,None, Don’t know, , ,I can make a moderate difference,I am somewhat interested,Internet,Television in English,My union or work place, , , , , , , , , , , ,Somewhat easy,"I contacted a public official through a letter, email, phone, or in-person", , , , , , , , ,I am not currently eligible to register to vote, , , ,No,"I tried to vote, but was told I was not eligible", ,Somewhat likely,Never,No,Graduate or professional degree,We rent our home, ,2,Male, ,"More than $150,000",I usually drive the car that I own, ,Social Media / Facebook / Online meet up groups / All online social media sites
2232,Chinese,WEB,China,1993,2015,98109,Chinese,Not well,nothing now, Don’t know, , ,I can make a moderate difference,I am somewhat interested,Internet,Ethnic Television,Television in English,Ethinic radio, , , , , , , , , , ,Somewhat easy, , , , , , , , , ,Other:,"????,??????", , ,No,I was not interested in the election, ,Somewhat likely,Never,No,College degree,We rent our home, ,2,Female, ,"$40,891 to $64,999",I usually walk, ,Social Media / Facebook / Online meet up groups / All online social media sites
2233,Chinese,WEB,China,1992,2014,98109,Chinese,Well,healthcare,Access to health care/Affordable health care, , ,I can make a big difference,I am somewhat interested,Internet, , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Not in the US at that time,I haven't come to United States,Somewhat likely,Never,I don't remember,Graduate or professional degree,We rent our home, ,2,Female, ,"More than $150,000",I usually drive the car that I own, ,Friend or Family member shared survey link
2234,Chinese,WEB,China,1991,2009,98109,Chinese,Very well,Discrimination for school admission. The standard for Chinese students is obviously higher than students of other race.,Discrimination/Social justice/Equality, , ,I can make a big difference,I am somewhat interested,Internet,Television in English,Newspapers in English, , , , , , , , , , , ,It is difficult,I sent a message on Facebook or other social media about a social or political issue,I have given money to an organization or candidate, , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Somewhat likely,Never,No,College degree,We rent our home, ,1,Male, ,"$100,000 to $150,000","I own a car, but I usually take public transportation", ,Social Media / Facebook / Online meet up groups / All online social media sites
2235,Chinese,WEB,Taiwan,1979,2014,98109,Mandarin,Very well,Communication with hospitals, Communication (General), , ,I can make a moderate difference,I am somewhat interested,Internet,Friends and family, , , , , , , , , , , , ,Very easy,"I contacted a public official through a letter, email, phone, or in-person","I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was out of town, ,Somewhat likely,Never,No,Graduate or professional degree,We own our home, ,4,Female, ,"More than $150,000",I usually drive the car that I own, ,Social Media / Facebook / Online meet up groups / All online social media sites
2236,English,WEB,UK,1987,2013,98109,English,Very well,Processing times for green cards.,Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a small difference,I am very interested,Internet,Television in English,Newspapers in English, , , , , , , , , , , ,Very easy,"I participated in one or more demonstrations, protests, marches, or rallies",I sent a message on Facebook or other social media about a social or political issue, , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Not likely at all,Never,Yes,College degree,We live with relatives or friends, ,5,Male, ,"$40,891 to $64,999",I usually drive a car that I borrow, , 
2237,Chinese,WEB,China,1991,2008,98109,Chinese,Well,Public transit, Public transportation, , ,I can make a moderate difference,I am not interested,Internet,Friends and family, , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Somewhat likely,Never,No,Graduate or professional degree,We own our home, ,2,Female, ,"$40,891 to $64,999",I usually drive the car that I own, ,Social Media / Facebook / Online meet up groups / All online social media sites
2448,Vietnamese,PAPER,Vietnam,1957,1982,98118,Vietnamese,Not at all,na, , , ,I can make a small difference,I am very interested,Ethnic Television,Ethnic newspapers,Ethinic radio,My community organization(s)/service provider(s), , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,Some high school, , ,9,Male, , ,I usually drive the car that I own, ,Sonny sewing
2238,English,WEB,India,1980,2000,98109,English,Very well,delay in processing applications,Difficulty in legal residence/Greencard issue/Obtaining citizenship/Immigration, , ,I can make a small difference,I am very interested,Internet,Friends and family,Television in English, , , , , , , , , , , ,Very easy,I attended a government or school board meeting in my city, , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Not likely at all,Never,I don't remember,Graduate or professional degree,We own our home, ,3,Male, ,"More than $150,000",I usually drive the car that I own, , 
2239,English,WEB,Ethiopia,1984,2012,98109,Amharic,Well,better housing  benefits  education,Affordable housing/Low income housing, , ,I can make a big difference,I am not interested,Friends and family,My community organization(s)/service provider(s),Library, , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,Not likely at all,Never,No,Some college,We rent our home, ,2,Female, ,I don't know,"I don't own a car, so I take public transportation", ,"GoodWill (Burien, Bellevue, Seattle and Shoreline)"
2240,Chinese,WEB,China,1985,2011,98109,Chinese,Not well,No. But my health is not good. The medical fee is so expensive.,Access to health care/Affordable health care, , ,I can make no difference at all,I am very interested,Internet,Ethnic Television,Television in English,Ethnic newspapers,Ethinic radio, , , , , , , , , ,Very easy, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Not US citizen/Ineligible/Greencard holder,I am not a U.S. Citizen,Somewhat likely,Never,No,Graduate or professional degree,We rent our home, ,2,Female, ,"$11,881 to $24,300",I usually drive the car that I own, ,"GoodWill (Burien, Bellevue, Seattle and Shoreline)"
2241,English,WEB,India,1991,2013,98109,English,Very well,Safety, Improve safety/Reduce crime, , ,I can make a big difference,I am very interested,Internet, , , , , , , , , , , , , ,Very easy,I sent a message on Facebook or other social media about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Not in the US at that time,not in the United States,I don't know,Never,No,Graduate or professional degree,We rent our home, ,2,Male, ,"$65,000 to $99,999","I don't own a car, so I take public transportation", ,Friend or Family member shared survey link
2242,English,WEB,USA,1970,1970,98109,English,Well,Stop letting them in., Illegal immigrants, , ,I can make a small difference,I am somewhat interested,Internet,Library, , , , , , , , , , , , ,Very easy,I have worked on a project or attended a meeting in my neighborhood, , , , , , , , ,I am eligible to register but have not registered yet, ,I don't know how/where to register/it's too complicated, , , , ,I don't know,Sometimes,I don't remember,High school graduate or GED,We rent our home, ,1,Male, ,I don't know,"I don't own a car, so I take public transportation", ,"GoodWill (Burien, Bellevue, Seattle and Shoreline)"
2243,English,WEB,Bulgaria,1978,2000,98109,English,Well,N/A, , , ,I can make a small difference,I am somewhat interested,Internet, , , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am registered to vote, , , ,Yes, , ,Somewhat likely,Rarely,No,College degree,We own our home, ,5,Female, ,"$65,000 to $99,999",I usually drive the car that I own, , 
2244,English,WEB,Canada,1985,1992,98109,English,Well,I don't like everyone in government assuming I need their handouts. I work hard and can take care of myself. It is offensive you think because of the color of my skin I'm incapable of that.,Discrimination/Social justice/Equality, , ,I can make a moderate difference,I am very interested,Internet,Ethnic newspapers,My place of worship,Newspapers in English,Radio in English, , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,"I participated in one or more demonstrations, protests, marches, or rallies","I contacted a public official through a letter, email, phone, or in-person",I have given money to an organization or candidate, , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,Yes,College degree,We rent our home, ,7,Female, ,"$40,891 to $64,999",I usually drive the car that I own, ,City of Seattle (online/ email)
2245,English,WEB,Vietnam,1988,1991,98109,English,Very well,"Equitable access to housing and resources, protection and right to have stability in housing. For example: My parents were recently displaced from their rental home because their landlord had discovered that renting out their home to a group of international students for double the rental price is more profitable. In circumstances like these there are no laws protecting renters and in addition there are no avenues and resources to help guide them to their next steps. They in turn have found themselves couch surfing because 1.) Rent in and all around Seattle are doubled if not tripled what my parents were paying for similar  if not smaller square footage and space. 2.)Landlords racially profile and turn down immigrants and refugees for various reasons including language barriers.",Discrimination/Social justice/Equality, , ,I can make a small difference,I am very interested,Internet,Friends and family, , , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I sent a message on Facebook or other social media about a social or political issue, , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Sometimes,No,College degree,We rent our home, ,2,Female, ,"$65,000 to $99,999","I don't own a car, so I take public transportation", , 
2246,English,WEB,Ethiopia,1986,1992,98109,English,Very well,Public Health Affordable Housing Education (Focus on early education) Financial Responsibility,Affordable housing/Low income housing, , ,I can make a small difference,I am somewhat interested,Radio in English, , , , , , , , , , , , , ,Very easy,I attended a government or school board meeting in my city,I sent a message on Facebook or other social media about a social or political issue, , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,No,College degree,We rent our home, ,1,Male, ,"$65,000 to $99,999",I usually walk, ,Friend or Family member shared survey link
2813,Oromo,PAPER,Ethiopia,1980,1999,98118,Oromo,Very well,na, , , ,I can make a moderate difference,I am very interested,Television in English, , , , , , , , , , , , , ,Somewhat easy,I have signed a letter about a social or political issue, , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often, , ,We rent our home, ,2,Female, ,"$24,301 to $40,890",I usually drive the car that I own, , 
2247,English,WEB,Japan,1956,1976,98109,Japanese,Very well,public assisted care for elderly, Elderly services, , ,I can make a big difference,I am not interested,Internet, , , , , , , , , , , , , ,It is difficult,I have signed a letter about a social or political issue,I have worked on a project or attended a meeting in my neighborhood,"I contacted a public official through a letter, email, phone, or in-person", , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,Yes,College degree,We own our home, ,2,Female, ,"$100,000 to $150,000","I don't own a car, so I take public transportation", ,City of Seattle (online/ email)
2248,Spanish,WEB,Mexico,1971,1999,98109,Spanish,Very well,Lack of good job opportunities,Jobs/Job search/More jobs available, , ,I can make a big difference,I am very interested,Internet,Ethnic Television,Television in English,Newspapers in English,Ethinic radio,Radio in English, , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I sent a message on Facebook or other social media about a social or political issue,"I attended a PTA meeting, or other volunteer group at my child's school",I have given money to an organization or candidate, , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often,Yes,Graduate or professional degree,We own our home, ,4,Female, ,I don't know,I usually drive the car that I own, ,City of Seattle (online/ email)
2249,English,PAPER,Ethiopia,1978,2008,98109,Amharic,Very well,Being unable to adopt interprate to the system easily,General increase in public services/Increased access to information, , ,I can make a big difference,I am very interested,Internet,Television in English,Ethnic newspapers,Newspapers in English,Radio in English, , , , , , , , , ,Very easy,I have worked on a project or attended a meeting in my neighborhood, , , , , , , , ,I am eligible to register but have not registered yet, ,Registered/soon to register,I will register,No,I was not registered, ,Very likely, , ,Graduate or professional degree,We own our home, ,3,Male, ,"$100,000 to $150,000",I usually drive the car that I own, , 
2250,English,PAPER,Somalia,1975,1995,98109,Somalian,Very well,city jobs,Jobs/Job search/More jobs available, , ,I can make a small difference,I am very interested,Internet, , , , , , , , , , , , , ,Somewhat easy,I volunterred for an election activity such as a phone bank or registering people to vote, , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Often, ,Some high school,We rent our home, ,3,Male, ,"$40,891 to $64,999",I usually drive the car that I own, , 
2251,English,PAPER,Ethiopia,1984,2001,98109,Amharic,Well,housing job,Affordable housing/Low income housing,Jobs/Job search/More jobs available, ,I can make a moderate difference,I am very interested,Internet,Friends and family,Television in English,My place of worship,My union or work place, , , , , , , , , ,It is difficult,"I attended a PTA meeting, or other volunteer group at my child's school", , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,Some college,We rent our home, ,4,Male, ,"$40,891 to $64,999",I usually drive the car that I own, , 
2252,English,PAPER,Somalia,1963,1989,98109,Somalian,Well,Youth, Help the youth/youth services, , ,I can make a small difference,I am very interested,Internet,Television in English,My community organization(s)/service provider(s), , , , , , , , , , , ,It is difficult,I have given money to an organization or candidate, , , , , , , , ,I am registered to vote, , , ,Yes, , ,Very likely, , ,High school graduate or GED,We rent our home, ,5,Male, ,"$65,000 to $99,999",I usually drive the car that I own, , 
2253,Spanish,PAPER,Other,1973,2016,98109,Spanish,Not well, , , , ,I can make a big difference,I am very interested,Television in English, , , , , , , , , , , , , ,Very easy, , , , , , , , , ,I am not currently eligible to register to vote, , , , , , ,Somewhat likely,Never, ,High school graduate or GED,We rent our home, ,2,Female, ,"$40,891 to $64,999","I don't own a car, so I take public transportation", , 
2254,Tigrigna,PAPER,Eritirea,1995,2010,98109,Tigrigna,Well,Education, Education/General educational resources, , ,I can make a moderate difference, ,Internet,Newspapers in English, , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am registered to vote, , , ,No,I did not know how to fill out and submit my ballot, ,Not likely at all, , ,Some college,We rent our home, ,1,Male, ,I don't know, , ,Ailaf Ali
2255,English,PAPER,Japan,1981,2015,98109,Japanese,Not well,na, , , ,I can make no difference at all,I am very interested,Friends and family, , , , , , , , , , , , , ,I have not found any, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,I was not registered, ,I don't know,Never, ,College degree,We rent our home, ,2,Female, ,I don't know,"I don't own a car, so I take public transportation", , 
2256,English,PAPER,USSR/Russia/Soviet Union,1986,2014,98109,Russian,Well,na, , , ,I can make a small difference,I am not interested,Internet,Friends and family, , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, ,Not a citizen yet/Not qualified/Greencard holder,I'm not a US citizen.,No,Not in the US at that time,I lived in Russia.,I don't know,Never, ,Graduate or professional degree,We rent our home, ,2,Female, ,I don't know,"I own a car, but I usually take public transportation", , 
2257,Vietnamese,PAPER,Vietnam,1943,2002,98112,Vietnamese,Not well,na, , , ,I can make no difference at all,I am very interested,Ethnic Television,Ethnic newspapers,Ethinic radio,My community organization(s)/service provider(s), , , , , , , , , , ,It is difficult, , , , , , , , , ,I am eligible to register but have not registered yet, , , , , , ,I don't know,Never, ,None,We rent our home, , ,Female, , ,"I don't own a car, so I take public transportation", ,SVCLI
2258,English,PAPER,Sweden,1983,1986,98112,English,Very well,Refugee housing, Other, , ,I can make a small difference,I am very interested,Internet,Friends and family,Newspapers in English, , , , , , , , , , , ,Very easy,I have signed a letter about a social or political issue,I attended a government or school board meeting in my city,I have worked on a project or attended a meeting in my neighborhood,I sent a message on Facebook or other social media about a social or political issue, , , , , ,I am registered to vote, , , ,Yes, , ,Very likely,Sometimes, ,College degree,We rent our home, ,2,Male, ,"$40,891 to $64,999","I own a car, but I usually take public transportation", ,Seattle Public Library ( online and in paper)
2259,English,PAPER,Colombia,1997,NA/Refused,98112,Spanish,Not well,NA, , , ,I can make a moderate difference,I am very interested,Internet, , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, , , ,No,Other:,My religion,Not likely at all, , ,None,We rent our home, ,1,Female, ,I don't know,"I don't own a car, so I take public transportation", ,Seattle Public Library ( online and in paper)
2260,Chinese,PAPER,China,1954,2009,98112,Chinese,Not at all,NA, , , ,I can make no difference at all,I am very interested,Internet, , , , , , , , , , , , , ,Somewhat easy, , , , , , , , , ,I am not currently eligible to register to vote, , , , , , , , , ,High school graduate or GED,We rent our home, ,2,Female, , ,"I don't own a car, so I take public transportation", ,Seattle Public Library ( online and in paper)
2261,English,PAPER,Colombia,1997,NA/Refused,98112,Spanish,Not well,NA, , , , ,I am very interested,Friends and family, , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, ,I am too busy,I did not have enough time,No,Not in the US at that time,I did not have enough time,I don't know,Never, ,High school graduate or GED,Other:,Colombia, ,Female, ,I don't know,"I own a car, but I usually take public transportation", ,Seattle Public Library ( online and in paper)
2262,Amharic,PAPER,Ethiopia,1983,NA/Refused,98112,Amharic,Not well,na, , , ,I can make a moderate difference,I am somewhat interested,My community organization(s)/service provider(s), , , , , , , , , , , , , ,It is difficult, , , , , , , , , ,I am not currently eligible to register to vote, , , , , , ,Very likely, , ,None,We rent our home, , ,Female, ,"$11,880 or less", , ,East African Community College/Service
2263,English,PAPER,China,1981,2006,98112,English,Very well,Healthcare,Access to health care/Affordable health care, , ,I can make a small difference,I am not interested,Other:, , , , , , , , , , , , ,Not interested, , , , , , , , , , ,I am not currently eligible to register to vote, , , ,No, , ,Not likely at all,Never, ,Graduate or professional degree,We own our home, ,2,Female, ,"More than $150,000",I usually drive the car that I own, ,Crossings TV
2264,Tigrigna,PAPER,Eritirea,1985,2011,98112,Tigrigna,Well,Food, Financial assistance/Welfare, , ,I can make a moderate difference,I am not interested,Ethnic newspapers,Newspapers in English, , , , , , , , , , , , ,I have not found any,I sent a message on Facebook or other social media about a social or political issue, , , , , , , , ,I am not currently eligible to register to vote, ,I don't know how/where to register/it's too complicated, ,No, , ,Very likely, , ,None,We rent our home, ,2,Male, ,I don't know, , ,Ailaf Ali
